"_acl.*.r",_acl.*.w,_acl.9eF1W1pu4q.r,_acl.9eF1W1pu4q.w,_acl.FQ1Xe0d6Qd.r,_acl.FQ1Xe0d6Qd.w,_acl.SnQkkuL1NC.r,_acl.SnQkkuL1NC.w,_acl.rIJxILE6XL.r,_acl.rIJxILE6XL.w,_acl.t0egIyLR5z.r,_acl.t0egIyLR5z.w,_created_at,_id,_p_autor,_p_estudiante,_p_tipo,_rperm.0,_rperm.1,_updated_at,_wperm.0,_wperm.1,actionTaken,aprobado,descripcion,fechaEntrega,grupos.0.__type,grupos.0.className,grupos.0.objectId,grupos.1.__type,grupos.1.className,grupos.1.objectId,grupos.2.__type,grupos.2.className,grupos.2.objectId,grupos.3.__type,grupos.3.className,grupos.3.objectId,materia,titulo
"",,,,,,,,,,,,2016-08-23T15:22:33.463Z,00p228xNwh,_User$2prODvgVi6,Estudiantes$bCIhcoh65I,tipoAnuncio$8RDIvLSSbA,,,2016-08-23T15:22:33.463Z,,,,true,Con gusto.\nBuen día.,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-23T14:57:38.144Z,01eUMSPL69,_User$2prODvgVi6,Estudiantes$bCIhcoh65I,tipoAnuncio$8RDIvLSSbA,,,2016-08-23T14:57:38.144Z,,,,true,"Buenos días!\nMuchas gracias por los presentes, pero tengo una duda: la Miss auxiliar de Bruno es Patty. No es Marisol. Solamente indíqueme por favor a quien le damos los chocolates.\nY le agradecemos infinitamente el detalle.\nSaludos\nMisses de Bruno",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-07T18:17:03.499Z,03rUojAEbJ,_User$2prODvgVi6,Estudiantes$R4cmD3rRYj,tipoAnuncio$8RDIvLSSbA,,,2016-09-07T18:17:03.499Z,,,,true,Buenos tardes!\nYa va en la mochila la sudadera de Giselle. Una disculpa por la equivocación.\nSaludos\nMiss Lala,,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-04T21:28:34.628Z,06ezdlOqPS,_User$2prODvgVi6,Estudiantes$j0vRq6EEqM,tipoAnuncio$8RDIvLSSbA,,,2016-11-04T21:28:34.628Z,,,,true,Buenas tardes!\nEl próximo lunes 7 de noviembre nos corresponde la ceremonia cívica. Les pido de favor apoyarnos mandando con Paulina una chamarra de invierno.\nMuchas gracias por su apoyo\nMiss Miriam,,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-08-23T14:24:14.158Z,073GNJhS4K,_User$F0f8Dh73dk,Estudiantes$bCIhcoh65I,tipoAnuncio$8RDIvLSSbA,*,F0f8Dh73dk,2016-08-23T14:57:43.480Z,*,F0f8Dh73dk,true,true,"Hola Miss Lala, le mandé un pequeño presente a usted y a las nuevas maestras de Bruno deseando que tengan un excelente ciclo escolar!!!!\n\nTambién van en la mochila los artículos de  uso personal gorra, cepillo de dientes y pasta. Los mandé desde ayer pero se quedaron en la mochila, también iba el mantel y vaso pero esos si los sacaron ayer.\n\nGracias y buen día,\nAtte. Denisse Domínguez",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-09-27T20:03:01.606Z,08Cf4Cczbd,_User$SUOmcgETNg,Estudiantes$hVs56Z06tg,tipoAnuncio$X84nYuH45F,*,SUOmcgETNg,2016-09-27T20:27:04.367Z,*,SUOmcgETNg,true,true,"ok mañana nos vemos alas 8am ... gracias ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-10-21T16:01:07.803Z,0FTYJjubMn,_User$2prODvgVi6,Estudiantes$eyaHhdBWHF,tipoAnuncio$Kiot3adF10,,,2016-10-21T16:01:07.803Z,,,,true,"Buenos días! Con mucho gusto los recibo la siguiente semana. Hoy precisamente tuvimos unos pequeños cuentos que hablaban de valores, buenos modales y sentimientos. Hicimos hincapié en avisar para ir al baño y hasta hubo actuación de las misses. Vamos a ver si Ángela entendió esta parte. Nosotros la vamos a llevar al baño aunque ella no lo pida. Ojalá logremos regresar a la normalidad.\nQuedo a sus órdenes.\nMiss Lala",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-12-05T20:50:12.889Z,0JFZRS7yiR,_User$OqM7Ei84I8,Estudiantes$eyaHhdBWHF,tipoAnuncio$Kiot3adF10,*,OqM7Ei84I8,2016-12-06T19:49:19.040Z,*,OqM7Ei84I8,true,true,"Buenas tardes Miss Lala, acabamos de salir de una cita con Genetica que tenia programada el dia de hoy Angela, nos gustaria comentarle el diagnostico que nos dieron, podria regalarnos unos minutitos el dia miercoles a la hora de la entrada por favor.\n",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-31T19:37:50.353Z,0Jfw6pacb1,_User$cR2uTvVmV9,Estudiantes$aFf8OAPEL0,tipoAnuncio$8RDIvLSSbA,,,2016-09-01T14:29:58.254Z,,,true,true,"Miss Lala buena tarde.\nRespecto a la hoja con datos personales que ayer nos enviaron, un servidor omitió poner el peso de Isabella (15.5 kg) y la estatura no la pudo tomar tampoco. \nMil disculpas. Saludos cordiales ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-14T16:36:57.884Z,0N1n6WTHDu,_User$2prODvgVi6,Estudiantes$XrNd0FxMU6,tipoAnuncio$4e5Ojw4gRT,,,2016-09-14T16:36:57.884Z,,,,true,Buenos días!\nYa estamos armando los talleres vespertinos y necesitamos saber la decisión que tomaron para Daniela.\nEl costo de cada taller es de 350 pesos mensuales.\nQuedo en espera de su respuesta.\nSaludos\nMiss Lala,,,,,,,,,,,,,,General,
true,true,,,,,true,true,,,,,2016-10-10T13:27:59.440Z,0U7RVP3j0R,_User$SnQkkuL1NC,Estudiantes$g0bEXnk97K,tipoAnuncio$knJCpPHggt,*,SnQkkuL1NC,2016-10-10T13:30:28.124Z,*,SnQkkuL1NC,true,true,"Buenos días Verito. sólo comentando que Emilio está ligeramente resfriado, cualquier alerta  estaré pendiente. Tomó 5ml de Antifludes a las 815am. Gracias ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-08T18:11:57.594Z,2QdTasA6jK,,,,,,2016-09-08T18:11:57.594Z,,,,,,,Pointer,grupo,dTbUGaumaH,,,,,,,,,,,
"",,,,,,,,,,,,2016-03-08T19:39:53.926Z,0S71EvqVx5,_User$2prODvgVi6,Estudiantes$g0bEXnk97K,tipoAnuncio$UvcbCWcRGE,,,2016-03-08T19:39:53.926Z,,,,true,"Buenas tardes papitos de Preescolar:\nLes envío un cordial saludo y hago de su conocimiento la logística para nuestro Festival de Primavera de este sábado 12 de marzo:\nA) La entrada de TODOS los alumnos será a las 9:30 por Moctezuma (calle de atrás del colegio)\nB) Estaremos recibiendo a los pequeños mediante carrusel. NO SE ESTACIONEN para darle flujo y continuidad al recibimiento.\nC) Los pequeños deben de venir ya desayunados. Se les dará un lunch entre presentaciones.\nD) La cancha de futbol de enfrente estará disponible para estacionamiento. Tomar en cuenta que a las 9:30 es el festival de maternal.\nE) La salida de TODOS los alumnos será al término de la segunda presentación. NO HAY MANERA de llevarse a su pequeño(a) antes que esto suceda.\nF) Para la salida, los niños estarán en el comedor y podrá pasar un familiar autorizado a recogerlos por la puerta de la rampa.\nG) Checar la libreta para estar seguros de cómo tienen que venir vestidos y peinados sus pequeños. CADA GRUPO ES DIFERENTE.\nMuchas gracias por su apoyo.\nDirección Preescolar ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-22T18:02:02.032Z,0UAb3h8Cw7,_User$2prODvgVi6,,tipoAnuncio$cVxa8V84VG,,,2016-12-05T03:03:53.524Z,,,,true,"HOMEWORK\n-página 35.\nColorear el lápiz de amarillo y repetir la palabra ""pencil"" varias veces. \nThank you! \nMiss Gaby y Miss Eva ",2016-11-23T18:02:07.000Z,Pointer,grupo,64pgpsXXxk,Pointer,grupo,JUJC6JvxFz,Pointer,grupo,8zoHGyLKb7,,,,Inglés,
"",,,,,,,,,,,,2016-05-24T18:58:40.539Z,0Wi4Ya8FKj,_User$gpWo4EnuQj,,tipoAnuncio$8RDIvLSSbA,,,2016-09-08T14:01:13.679Z,,,,true,"Por medio del presente agradecemos a todos los padres de familia que nos siguen apoyando en fomentar la cultura de reciclaje entre nuestros alumnos y también con ello el cuidado del medio ambiente. \n\nLes informamos que El Colegio seguirá recibiendo ÚNICAMENTE sus residuos de polietileno en su modalidad de PET (botellas delgadas de bebidas) y de PEAD (envases gruesos como botellas de detergentes líquidos, cloro, etc.)\n\nLes solicitamos amablemente NO mandar otros materiales tales como cartón, latas, aluminio, etc. ya que dichos materiales no son aceptados por la institución a la cual el Colegio los entrega. \n\nSin más por el momento retirándoles nuestra gratitud y esperando contar con su comprensión, me despido de ustedes quedando como su atento servidor.",,Pointer,grupo,pSku5ZBZAv,Pointer,grupo,dTbUGaumaH,Pointer,grupo,YUlRLGut9k,Pointer,grupo,HxsN3Wf3WF,General,
true,true,,,,,,,,,,,2016-10-05T14:11:25.923Z,0XKtF6uSwh,_User$Q33Hpedria,Estudiantes$6FjwgJhsB7,tipoAnuncio$8RDIvLSSbA,Q33Hpedria,*,2016-10-05T15:00:40.139Z,*,Q33Hpedria,true,true,"Buenos días, mi pregunta es sobre la materia de inglés.1.- El cuaderno con el logo del colegio se va a seguir mandando hasta el día viernes? 2.- El dictado para hoy es sobre las palabras de 3 letras? 3.-Las tareas de inglés no se publican en esta aplicación. 4.- El ejercicio para el jueves no esta anotado, me podrían indicar cuál será? por favor. Gracias, que tengan un bonito día.",,,,,,,,,,,,,,General,
true,true,,,,,,,,,,,2016-02-24T23:08:04.713Z,0YGu1M2pl2,_User$ojzFGEIypo,Estudiantes$rknl5XUafU,tipoAnuncio$cVxa8V84VG,*,ojzFGEIypo,2016-03-02T17:05:46.347Z,*,ojzFGEIypo,true,true,"Buenas tardes,  una duda sobre la tarea del tema de los cuentos que debe entregarse mañana en la clase de miss carmelita... El cuento debe ser inventado por nosotros o puede ser alguno de los que ya conocemos?  Por ejemplo,  caperuzita,  la cenicienta etc,  o debe ser nuevo, es decir,  creado por nosotros. Gracias! ",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-08-30T14:10:46.065Z,0a2yAvj6Ja,_User$2prODvgVi6,Estudiantes$FDLtrHB4rq,tipoAnuncio$8RDIvLSSbA,,,2016-08-30T14:10:46.065Z,,,,true,"Buenos días!\nEfectivamente Carlos ha llegado triste estos días, pero ya en este momento está trabajando muy bien y sin llanto ni tristeza. Me comenta Miss Alexa que desayuna muy bien y seguramente se despierta sin ganas de venir a la escuela porque estamos en semanas de adaptación poniendo reglas y límites lo que no a todos les agrada mucho que digamos.\nPero vamos muy bien. No se preocupe.\nQuedo a sus órdenes \nMiss Lala",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-11-23T14:12:36.633Z,0bHDm8OFsg,_User$2prODvgVi6,Estudiantes$V6nKESnPkG,tipoAnuncio$knJCpPHggt,,,2016-11-23T14:12:36.633Z,,,,true,"¡Buenos días!\nGracias por informarnos. Estaremos pendientes de que Fany esté bien. Si es necesario, le podemos aplicar pomada durante el día.\nQuedamos a sus órdenes.\nMiss Lala",,,,,,,,,,,,,,General,
"",,,,,,,,,,,,2016-09-01T20:51:09.637Z,0bSqlJK0nZ,_User$jjqsGnt06T,Estudiantes$dOnWt5jF1o,tipoAnuncio$8RDIvLSSbA,,,2016-09-02T14:57:19.926Z,,,true,true,"Miss, Lala, el hecho de que no pueda iniciar el Taller de Futbol, realmente afecta a nuestros hijos, Ricky se la pasó todas las vacaciones extrañando sus clases, espero puedan tomar una solución alternativa para que el Taller pueda iniciar cuanto antes. Salidos",,,,,,,,,,,,,,General,
