"_created_at",_id,_p_user,_updated_at,canal,count
2016-04-18T20:06:37.589Z,01T1UbFYvE,_User$xNLUlVgVjZ,2016-04-18T20:06:37.589Z,p8VAIwmwUO,0
2015-10-26T01:15:55.212Z,03HLjqZHrY,_User$bEj5n78wBo,2015-10-26T01:15:55.212Z,RjMLRtGdib,0
2016-02-02T21:57:38.076Z,04V3XwxBa4,_User$xgwQw6dhxG,2016-02-02T21:57:38.076Z,gLeoBFIT5j,0
2016-02-26T19:32:37.246Z,04mCebS6an,_User$DlcW5atXs6,2017-09-18T19:30:15.203Z,gwYDWEPMZI,0
2016-08-10T20:14:47.080Z,067CGMqe6o,_User$rsHMcrmkM9,2017-04-05T17:31:25.129Z,jRXDEYrP8U,3
2015-11-25T18:56:11.954Z,0767A2tY8a,_User$QEFwV7P8rU,2015-11-25T18:56:11.954Z,4Y3rZFv615,0
2015-10-26T01:16:11.400Z,07j11vbINu,_User$Nd93OgC2kk,2017-10-03T18:24:21.854Z,V6nKESnPkG,22
2016-08-10T19:23:46.965Z,08JwHfV0Og,_User$Dpc0CGvnea,2017-04-05T18:07:48.094Z,tzAKoXAB8h,9
2016-08-10T20:22:36.772Z,0AbEhppRMc,_User$U845k9n3y7,2016-08-10T20:22:36.772Z,n8Wckd92BZ,0
2015-10-26T01:16:02.191Z,0AzzLqVZAY,_User$u5T84teSud,2017-07-11T20:54:29.786Z,p6hzoxumov,12
2015-10-26T01:15:47.100Z,0HNf9lkq2d,_User$nPzX4RNC4D,2017-09-21T00:53:59.886Z,FIr4iWfIFD,23
2015-11-25T18:40:19.896Z,0HWEGl0bk3,_User$WALyT9cFx9,2017-09-01T18:44:31.752Z,ojyfcrXRJv,5
2015-10-26T01:16:05.181Z,0Jf3CEbY9N,_User$j2lQAUZP61,2017-09-27T20:58:15.607Z,BM662Lff8O,13
2016-08-10T20:12:17.840Z,0LyWqIulPt,_User$ugu0ZhRTd2,2017-10-12T16:58:16.740Z,piDqBUPNwr,20
2016-02-11T22:45:29.778Z,0MhSuT559g,_User$UgrR6B8UDl,2017-10-16T17:32:02.232Z,9Swt2WQX7o,0
2016-11-25T14:39:31.504Z,0MqgqmzPT9,_User$tJKZxISKQ9,2017-08-30T14:39:40.551Z,Zv1VGJcckw,1
2016-04-18T20:00:27.908Z,0NmqAtQ3qc,_User$Q33Hpedria,2017-04-05T18:12:25.685Z,6FjwgJhsB7,9
2016-08-10T19:53:53.752Z,0OrzZtEW47,_User$efvTuMGGQo,2017-09-18T22:39:48.731Z,E9CkqllAYJ,0
2016-04-18T20:50:36.069Z,0P6UPxeUop,_User$EMJ8swqMCM,2016-04-18T20:50:36.069Z,JOBuerTHRi,0
2016-04-18T20:19:24.330Z,0RQ2nkall9,_User$LF1OZeKKAO,2016-04-18T20:19:24.330Z,IX6Fhyxq8k,0
2015-10-26T01:15:48.150Z,0UNbLh9BFb,_User$f4ML2dMbTI,2017-04-05T18:13:57.002Z,zW76fIQViZ,5
2016-03-11T16:09:55.213Z,0VXn63h0Zz,_User$ZRKb0T3nvX,2017-08-30T15:04:25.879Z,uVw4lAoy09,3
2015-10-26T01:16:01.059Z,0Wv1KNCUay,_User$vB8aItqlyr,2017-09-01T18:50:32.446Z,aznLxLaOXx,1
2016-07-27T20:18:13.079Z,0YWugf0TtU,_User$spbOIyaVrT,2016-07-27T20:18:13.079Z,BIYFzXOoIx,0
2016-02-02T21:57:38.061Z,0Z72BR9Ed8,_User$vmBTxMvmRh,2016-02-02T21:57:38.061Z,gLeoBFIT5j,0
2016-01-11T21:59:50.580Z,0Z7FV9UCop,_User$TAfTFfyF7E,2016-01-11T21:59:50.580Z,63IOduNXIh,0
2016-03-31T17:55:13.425Z,0a2Kmb1LTB,_User$rdJGvvi3rf,2017-10-09T17:26:09.120Z,oddlhBQtep,16
2016-01-18T14:23:29.872Z,0cPhSEOQve,_User$DCnwMVaxQl,2017-09-11T18:47:33.349Z,yVXRjvoHcf,1
2016-09-14T15:43:51.047Z,0ePNV85AoO,_User$YTowbeunnj,2016-09-14T15:43:51.047Z,gFiw2dZ6qU,0
2015-10-26T01:15:47.563Z,0jXa7GIuQP,_User$OOQS3mfVTt,2017-06-07T15:48:27.178Z,2HqRX35RK9,8
2015-11-25T18:11:44.388Z,0juZ7KZhvh,_User$f5DTiAzaO9,2017-07-06T17:26:10.309Z,g0bEXnk97K,33
2015-10-26T01:16:13.582Z,0kVZEf3EBi,_User$0EpHzGMybe,2015-10-26T01:16:13.582Z,U8F8AVYsv7,0
2016-08-09T20:36:18.266Z,0pMoAUR4Vl,_User$nhieuu1Lvc,2017-10-11T18:46:51.437Z,FDLtrHB4rq,10
2016-07-27T20:28:02.292Z,0svwZHOcQA,_User$PhzLgBcyFU,2016-07-27T20:28:02.292Z,PAYy5MZTZj,0
2016-08-17T20:27:25.327Z,0wL9rESam9,_User$SVICcpmwLq,2016-08-23T19:59:53.436Z,8sNFqv3RJf,1
2016-11-14T17:15:33.575Z,0ynTxqZ110,_User$Ej6rTOQ0FQ,2016-11-14T17:15:33.575Z,hQg2rZoLSs,0
2015-10-26T01:16:09.607Z,0z0SwwFc1u,_User$DWtpcfcsGj,2016-03-10T00:31:09.858Z,Wv4dQw7SI9,0
2016-08-12T14:28:24.870Z,0zNjVNdqJr,_User$NsIYkMtI2J,2016-08-12T14:28:24.870Z,A09a9UDqW5,0
2016-08-22T15:40:06.017Z,10wBPT2NUI,_User$upXzUmFryj,2017-07-11T20:48:53.020Z,BSATibaRvR,6
2016-04-18T22:30:19.609Z,13WleL3moY,_User$3qUSkjYII4,2016-04-18T22:30:19.609Z,db7tZ1W4ad,0
2015-10-26T01:16:10.473Z,15RXsgJoYX,_User$wCfyAzuEiX,2015-10-26T18:01:13.719Z,13jYSN2Bk3,1
2016-04-18T20:51:27.245Z,17DMb1wyvi,_User$GSJ024tnJt,2016-07-04T17:00:51.529Z,A1ptpV8Utz,2
2016-08-09T20:38:35.476Z,17dGmboelP,_User$O2VxzUwiEV,2017-09-21T00:53:43.808Z,XQuNRaqeFY,5
2016-04-18T19:59:52.778Z,17uMpVhEg2,_User$wnZIMD2Aoa,2016-04-18T19:59:52.778Z,CGUBPJyIqy,0
2016-08-10T20:22:37.021Z,18mCezdxan,_User$FH9huP6fP5,2016-08-10T20:22:37.021Z,n8Wckd92BZ,0
2016-01-06T17:33:11.902Z,18tGX9I233,_User$zGnPmeuznz,2016-01-06T17:33:11.902Z,ixjzm52Og9,0
2016-04-18T20:31:14.553Z,1AWyr5KzOY,_User$Vf4UEckKCV,2017-04-05T18:09:15.255Z,yIA2rQ4L0o,0
2015-11-26T23:00:14.851Z,1AXPzoc5dE,_User$81YV3qZhmL,2015-11-26T23:00:14.851Z,Tf6MjUsBwx,0
2015-10-26T01:16:10.757Z,1B2OtuRuUr,_User$Ut5t7ogCRa,2017-09-18T18:50:52.079Z,saa8d6OuVK,14
2016-07-27T18:11:38.270Z,1BBMPeK12s,_User$73kUvMdft3,2017-09-19T20:57:49.192Z,va3Y4drOtL,7
2015-11-24T17:31:37.389Z,1DZJ5zkzvL,_User$Y5PaxdWHQK,2016-10-21T15:14:12.391Z,3Tz13rzL5i,4
2016-04-18T20:14:22.812Z,1Gazxz4cKg,_User$3sUG6wdtF7,2017-09-18T19:33:28.897Z,E9CkqllAYJ,10
2015-10-26T01:16:03.386Z,1Gf92h3Y2t,_User$vMdMYghVvT,2016-07-04T17:00:51.738Z,A1ptpV8Utz,6
2016-08-10T19:55:50.757Z,1HJEtBFkLl,_User$Oq1t89Zg4H,2017-09-05T15:27:19.723Z,oGzhr7bfVR,3
2016-03-18T19:14:43.671Z,1I48ZOWpFr,_User$nGQtzmQY5B,2016-03-18T19:14:43.671Z,ZGRA1B0ojW,0
2016-08-22T19:18:16.619Z,1IrByV9cnj,_User$IYvwwSvJw0,2017-09-18T18:50:11.460Z,WjuWa0xzsC,4
2015-11-25T18:41:11.440Z,1K89EyKQAp,_User$PfEQRCbaxW,2017-09-25T02:59:54.153Z,FIr4iWfIFD,0
2015-10-26T01:16:12.120Z,1KgKSewSyO,_User$DlcW5atXs6,2017-09-18T18:51:11.269Z,gwYDWEPMZI,4
2015-11-25T16:07:13.615Z,1LTn6wD1sZ,_User$VMm7eeqiZR,2015-11-25T16:07:13.615Z,z2UAoaaGgE,0
2015-10-26T01:15:53.174Z,1Ob6HmXGua,_User$qbloFoiM3z,2016-04-05T16:10:21.426Z,tHrZ4x862i,9
2016-01-28T21:20:51.844Z,1PeqF7FMQV,_User$v5pzpPhfQ0,2016-03-08T19:55:17.877Z,nyZFAmD0vT,2
2015-11-25T18:29:29.595Z,1QvNbm77wd,_User$rHUUlhL7Iy,2016-04-05T16:10:57.929Z,DJW7X1ojud,3
2016-11-29T15:54:17.922Z,1ULYtW1Wos,_User$CyEBySDErr,2017-08-30T14:35:07.756Z,na88WG6TT1,2
2015-10-26T01:16:10.614Z,1UZTCjtoKk,_User$rIJxILE6XL,2017-04-05T18:21:35.511Z,k9X7bxxVai,9
2016-07-27T17:12:46.112Z,1UdhCmcrjK,_User$OqM7Ei84I8,2017-10-04T13:26:19.314Z,eyaHhdBWHF,27
2015-11-25T18:41:11.426Z,1X4qDy1xUE,_User$SEW2TCmVG0,2017-09-21T02:45:10.607Z,FIr4iWfIFD,0
2016-08-09T20:15:56.107Z,1Z8yC9COHJ,_User$OqM7Ei84I8,2017-10-04T13:26:19.330Z,eyaHhdBWHF,27
2016-02-15T21:52:51.502Z,1ZItQAm2eG,_User$0r164J97Vl,2017-10-13T17:46:04.989Z,kLQgbaTW40,1
2015-11-25T18:29:29.609Z,1ZQKHI0sDd,_User$lU2skHHDqa,2016-04-05T16:10:57.893Z,DJW7X1ojud,3
2015-10-26T01:15:44.582Z,1asZfoIjHb,_User$gWTTipwGap,2015-10-26T18:01:15.579Z,Eynu9jFJqi,1
2015-10-26T01:16:14.919Z,1b3uNbXVcI,_User$KV1StzIfp0,2017-05-02T16:41:30.481Z,KRiSSjTrge,3
2015-10-26T01:16:02.519Z,1bPh0QzD6y,_User$J5GzegGOYt,2015-10-26T18:01:16.372Z,PO1s9TCWXC,1
2016-07-27T20:12:26.719Z,1cyeGuZAOF,_User$yX6ajyqQ8U,2016-07-27T20:12:26.719Z,DOZbA58Ky1,0
2016-09-02T19:29:54.317Z,1gjx46LfaD,_User$sX7YqGU1Nl,2017-09-21T00:55:00.112Z,C0ZGFwpEvE,11
2015-10-26T01:15:55.967Z,1hi0IY0LoO,_User$NwogKIiysi,2015-12-19T21:17:46.502Z,K0qLAORtku,0
2015-11-25T18:58:45.026Z,1iT9LREgkZ,_User$lUx8IVE0ew,2017-10-10T15:03:27.059Z,QwxzGpefjT,0
2016-08-23T16:56:00.729Z,1jIn0jMhtw,_User$yrq3LeG1O1,2016-12-05T14:59:39.200Z,ccrrWjrMni,10
2016-08-10T23:10:13.845Z,1jW3VwZZj2,_User$n69zugb7Ta,2017-04-05T18:18:46.277Z,tVTWViZvcG,22
2016-08-05T21:46:05.375Z,1jYO8l892q,_User$ElaXRrmaFd,2017-09-05T18:40:20.535Z,CvcLOjsCZz,0
2016-04-18T20:17:52.460Z,1jo4M5tPii,_User$yKlKSgODfw,2017-07-12T20:11:21.945Z,3hnVpoS9hR,0
