id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
6729118,CAMBRIGE KIDS,GRUPO EDUCATIVO RODA SC,611111,Escuelas de educaciÌ_n preescolar del sector privado,11 a 30 personas,CALLE,ADOLFO LÌÒPEZ MATEOS,CALLE,TROJE VENADERO,CALZADA,GLORIETA TROJE OJOCALIENTE,CALLE,TROJE OJOCALIENTE,0,SN,,,,,FRACCIONAMIENTO,RESERVA SAN CRISTOBAL,,,,20908,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,3670,13,14492515924,CONTACTO@CAMKIDS.MX,WWW.CAMBKIDS.MX,Fijo,21.94204111,-102.3060221,ene-16
5053,CENDI GUARDERÌA IMAGINA,"CENTRO INTEGRAL DE ESTIMULACIÌÒN INFANTIL IMAGINA, S.C.",611111,Escuelas de educaciÌ_n preescolar del sector privado,11 a 30 personas,CALLE,REPÌ_BLICA DE COSTA RICA,CALLE,REPÌ_BLICA DE URUGUAY,AVENIDA,LAS AMÌäRICAS,CALLE,REPÌ_BLICA DE COLOMBIA,611,,,,,,FRACCIONAMIENTO,LAS AMÌäRICAS,,,,20230,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,084A,7,4499783708,IMAGINA_03@HOTMAIL.COM,IMAGINAGUARDERIA.COM.MX,Fijo,21.86897622,-102.3020457,jul-10
32747,CENDI TLAXCALLÌN,INSTITUTO EDUCATIVO TLAXCALLÌN,611111,Escuelas de educaciÌ_n preescolar del sector privado,0 a 5 personas,CALLE,REPÌ_BLICA DE CUBA,CALLE,SANTANDER,CALLE,REPÌ_BLICA DEL SALVADOR,CALLE,REPÌ_BLICA MEXICANA,204,,,,,,FRACCIONAMIENTO,VALLE DORADO,,,,20235,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2070,4,4499135867,MLOMX@LIVE.COM.MX,,Fijo,21.86454591,-102.3078426,dic-14
32979,"CENTRO DE ATENCIÌÒN INTEGRAL Y ESTIMULACIÌÒN TEMPRANA DISCOVERY GARDEN, A.C.","CENTRO DE ATENCIÌÒN INTEGRAL Y ESTIMULACIÌÒN TEMPRANA DISCOVERY GARDEN, A.C.",611111,Escuelas de educaciÌ_n preescolar del sector privado,11 a 30 personas,AVENIDA,AYUNTAMIENTO,CALLE,VILLAS DEL ACUEDUCTO,AVENIDA,CONVENCIÌÒN SUR,CALLE,ACUEDUCTO,754,,,,,,BARRIO,LA SALUD,,,,20240,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,892,28,4492384096,DISCOVERI-GARDEN@HOTMAIL.COM,,Fijo,21.86782989,-102.2838774,dic-14
27777,CENTRO DE DESARROLLO EDUCATIVO JACQUES ROUSSEAU,IEA,611111,Escuelas de educaciÌ_n preescolar del sector privado,6 a 10 personas,AVENIDA,CONVENCIÌÒN DE 1914 ORIENTE,CALLE,TENIENTE JUAN DE LA BARRERA,CALLE,JAIME NUNÌÒ,CALLE,TENIENTE JUAN DE LA BARRERA,0,SN,,,,,COLONIA,HÌäROES,,,,20190,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,746,10,4491466012,CENDI.JACQUES.ROUSSEQU@LIVE.COM,,Fijo,21.88063068,-102.27213,dic-14
32212,CENTRO DE DESARROLLO INFANTIL BABY CARE SEDESOL,,611111,Escuelas de educaciÌ_n preescolar del sector privado,6 a 10 personas,CALLE,HUANUSCO,CALLE,TEPATITLÌN,CALLE,ZAPOPAN,CALLE,HUEJÌ_CAR,404,A,,,,,FRACCIONAMIENTO,CANTERAS DE SAN JAVIER,,,,20200,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,3914,1,4499761711,CENDI_BABY-CARE@HOTMAIL.COM,,Fijo,21.85685612,-102.3325776,dic-14
12538,CENTRO DE DESARROLLO INFANTIL DECROLY,,611111,Escuelas de educaciÌ_n preescolar del sector privado,6 a 10 personas,CALLE,PAULINO N. MARTÌ,RETORNO,DE ACUTZINGO,CALLE,POZO FRÌO,PRIVADA,POZO GRANDE,1215,,,,,,FRACCIONAMIENTO,POZO BRAVO NORTE,,,,20126,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2761,5,4492514477,CENDI.DECROLY@GMAIL.COM,,Fijo,21.92869692,-102.278525,jul-10
12517,CENTRO DE DESARROLLO INFANTIL PEQUES 1,"FUNDACIÌÒN EDUCACIÌÒN INFANTIL DE ENSEÌÔANZA, A.C.",611111,Escuelas de educaciÌ_n preescolar del sector privado,6 a 10 personas,CALLE,PLAN DE LA PROFESA,CALLE,GENERAL PÌNFILO NATERA,AVENIDA,CONSTITUCIÌÒN,CALLE,CUMBRE DE ACUTZINGO,129,,,,,,FRACCIONAMIENTO,LIBERTAD,,,,20126,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2761,8,4499722879,CENDY_PEKES1@HOTMAIL.COM,,Fijo,21.9296302,-102.2823427,jul-10
21439,CENTRO DE DESARROLLO INFANTIL TELERIN,,611111,Escuelas de educaciÌ_n preescolar del sector privado,6 a 10 personas,CALLE,DOCTOR PEDRO DE ALBA,CALLE,IGNACIO LOMAS,CALLE,MANUEL M. PONCE,CALLE,IGNACIO LOMAS,215,,,,,,BARRIO,BARRIO DE SAN MARCOS,,,,20070,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,619,19,4499185729,CENDITELERIN@HOTMAIL.COM,,Fijo,21.87850008,-102.3087357,jul-10
26183,CENTRO DE DESARROLLO INFANTIL VIDA,"COLIBRI VIDA, S.C.",611111,Escuelas de educaciÌ_n preescolar del sector privado,6 a 10 personas,BOULEVARD,LUIS DONALDO COLOSIO,CALLE,VALLE DE GUADALUPE,CALLE,SAN JULIÌN,CALLE,CERRO DE LA BUFA,301,,,,,,FRACCIONAMIENTO,JARDINES DE LA CONCEPCIÌÒN PRIMERA SECCIÌÒN,,,,20120,1,AGUASCALIENTES,1,Aguascalientes,1,Aguascalientes,2403,26,4499123262,KINDERVIDA@GMAIL.COM,,Fijo,21.92437754,-102.3085184,jul-13
